totalvehicles,CaseYear,ST_CASE,VEH_NO,NUMOCCS,DEATHS,DR_DRINK,DR_ZIP,SPEEDREL,HIT_RUN,BODY_TYP,BODY_TYPNAME,MAK_MOD,MOD_YEAR,Body,DISTRACT,IMPAIR
1,2019,540012,1,1,0,FALSE,25159,FALSE,FALSE,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",Jeep / Kaiser-Jeep / Willys- Jeep Grand Cherokee (For 2014 on.  Use model 404 for model years prior to 2013.),2014,Utility/Minivan,Not Distracted,None/Apparently Normal
2,2019,540013,1,1,0,FALSE,39439,FALSE,FALSE,34,Light Pickup,"Chevrolet C, K, R, V-series pickup/Silverado",2009,Pickup,Not Distracted,None/Apparently Normal
2,2019,540013,2,2,1,FALSE,26416,FALSE,FALSE,8,"Sedan/Hardtop, number of doors unknown",Subaru Impreza,2012,Sedan,Not Reported,None/Apparently Normal
1,2019,540014,1,1,1,FALSE,25510,FALSE,FALSE,4,"4-door sedan, hardtop",Ford Fusion,2016,Sedan,Not Reported,"Ill, Blackout"
1,2019,540015,1,2,2,FALSE,26362,TRUE,FALSE,63,"Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)",Peterbilt Medium/Heavy - Unknown engine location,2014,Straight truck,Not Reported,None/Apparently Normal
1,2019,540017,1,4,1,TRUE,25414,FALSE,FALSE,4,"4-door sedan, hardtop",Subaru Impreza,2005,Sedan,Not Reported,Under the Influence
1,2019,540018,1,1,0,FALSE,26105,FALSE,FALSE,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",Chevrolet Fullsize Blazer/Tahoe,2018,Utility/Minivan,Not Distracted,None/Apparently Normal
2,2019,540019,1,1,0,FALSE,22601,FALSE,TRUE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Toyota RAV4 *,2014,Utility/Minivan,Not Reported,Under the Influence
1,2019,540020,1,1,1,FALSE,25401,FALSE,FALSE,4,"4-door sedan, hardtop",Buick / Opel Regal (FWD),2004,Sedan,Not Distracted,None/Apparently Normal
1,2019,540021,1,4,1,FALSE,26525,FALSE,FALSE,4,"4-door sedan, hardtop",Dodge Neon,2004,Sedan,Not Reported,None/Apparently Normal
1,2019,540022,1,2,1,FALSE,43746,TRUE,FALSE,66,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",Freightliner Medium/Heavy - CBE,2016,Truck-tractor,Not Reported,Unknown
1,2019,540023,1,1,1,FALSE,26847,FALSE,FALSE,4,"4-door sedan, hardtop",Mercury Milan,2007,Sedan,Not Reported,Unknown
1,2019,540024,1,6,0,FALSE,16101,FALSE,FALSE,20,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",Dodge Caravan/Grand Caravan,2018,Utility/Minivan,Not Distracted,None/Apparently Normal
1,2019,540025,1,1,1,TRUE,26101,TRUE,FALSE,4,"4-door sedan, hardtop",Dodge Charger,2015,Sedan,Not Reported,Unknown
2,2019,540026,1,1,1,FALSE,25671,FALSE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Ford Escape,2016,Utility/Minivan,Not Reported,None/Apparently Normal
2,2019,540026,2,1,0,FALSE,25676,FALSE,FALSE,34,Light Pickup,"Chevrolet C, K, R, V-series pickup/Silverado",2018,Pickup,Not Reported,None/Apparently Normal
1,2019,540027,1,1,1,FALSE,26241,FALSE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Chevrolet TrailBlazer (2003 on; for 2002 model, see 401)",2004,Utility/Minivan,Not Reported,None/Apparently Normal
1,2019,540028,1,3,1,FALSE,26847,FALSE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",Jeep / Kaiser-Jeep / Willys- Jeep Cherokee (1984-on) (For Grand Cherokee for 2014 on use 02-422.),2004,Utility/Minivan,Not Reported,None/Apparently Normal
1,2019,540029,1,1,1,FALSE,24740,FALSE,FALSE,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",AM General Hummer,2007,Utility/Minivan,Not Reported,Unknown
2,2019,540030,1,3,2,FALSE,25177,FALSE,FALSE,4,"4-door sedan, hardtop",Mitsubishi Galant,2009,Sedan,Not Reported,None/Apparently Normal
2,2019,540030,2,3,0,FALSE,25086,TRUE,FALSE,34,Light Pickup,Ford F-Series pickup,2018,Pickup,Not Reported,"Ill, Blackout"
2,2019,540031,1,3,1,FALSE,21713,TRUE,FALSE,4,"4-door sedan, hardtop","Honda Civic/CRX, del Sol",2015,Sedan,Not Reported,None/Apparently Normal
2,2019,540031,2,2,0,TRUE,20197,FALSE,FALSE,4,"4-door sedan, hardtop",Chrysler 200,2015,Sedan,Not Reported,Under the Influence
4,2019,540032,1,2,1,FALSE,25276,TRUE,FALSE,4,"4-door sedan, hardtop",Chevrolet Cavalier,2002,Sedan,Not Reported,Under the Influence
1,2019,540033,1,1,1,FALSE,26452,FALSE,FALSE,90,ATV/ATC [All-Terrain Cycle],Kawasaki Unknown cc (ATV),NA,ATV/Off road,Not Reported,None/Apparently Normal
1,2019,540034,1,1,1,FALSE,26273,TRUE,FALSE,34,Light Pickup,Chevrolet S-10/T-10 Pickup,1996,Pickup,Not Reported,Unknown
1,2019,540035,1,1,1,FALSE,26601,TRUE,FALSE,2,"2-door sedan,hardtop,coupe",Chevrolet Monte Carlo (1995 on),2006,Sedan,Not Reported,Emotional
1,2019,540036,1,1,0,FALSE,99207,FALSE,FALSE,66,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",Volvo Medium/Heavy - CBE,2013,Truck-tractor,Not Distracted,None/Apparently Normal
1,2019,540037,1,1,1,FALSE,26554,FALSE,FALSE,80,Two Wheel Motorcycle (excluding motor scooters),Kawasaki 450-749cc,2006,Motorcycle,Not Reported,None/Apparently Normal
1,2019,540038,1,1,1,FALSE,15537,FALSE,FALSE,63,"Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)",Ford Medium/Heavy - CBE,1995,Straight truck,Not Reported,Unknown
1,2019,540039,1,2,1,FALSE,25634,FALSE,FALSE,34,Light Pickup,Ford F-Series pickup,2013,Pickup,Not Distracted,Under the Influence
