CaseYear,ST_CASE,crashDate,LONGITUD,LATITUDE,COUNTYNAME,HARM_EVNAME,HARM_EV,DRUNK_DR,WEATHERNAME,EMS_flag,EMS_time,Hosp_flag,Hosp_time,totalvehicles,fatals,persons,peds
2015,540245,2015-12-16T22:13:00Z,-81.06516111,37.42498889,MERCER (55),Motor Vehicle In-Transport,12,FALSE,Cloudy,Unknown time,NA,Unknown time,NA,2,1,3,0
2015,540246,2015-12-16T15:49:00Z,-78.73772222,39.37658056,HAMPSHIRE (27),Motor Vehicle In-Transport,12,FALSE,Clear,Yes,15:57,Cancelled,NA,2,3,3,0
2015,540247,2015-12-18T08:10:00Z,-81.65061111,38.66552778,JACKSON (35),Motor Vehicle In-Transport,12,FALSE,Snow,Unknown time,NA,Unknown time,NA,2,1,2,0
2015,540248,2015-12-18T19:26:00Z,-77.82095,39.27414722,JEFFERSON (37),Motor Vehicle In-Transport,12,FALSE,Clear,Yes,19:31,Yes,20:00,2,1,2,0
2015,540249,2015-12-31T15:40:00Z,-78.49193889,39.285,HAMPSHIRE (27),Motor Vehicle In-Transport,12,FALSE,Cloudy,Unknown time,NA,Unknown time,NA,2,1,3,0
2016,540001,2016-01-01T10:54:00Z,-81.84943889,38.10861111,BOONE (5),Rollover/Overturn,1,FALSE,Cloudy,Yes,11:04,Yes,12:38,1,1,1,0
2016,540002,2016-01-02T00:01:00Z,-80.66747222,38.832125,BRAXTON (7),Guardrail Face,24,FALSE,Cloudy,Yes,00:10,Not Applicable/Notified,NA,1,1,1,0
2016,540003,2016-01-02T01:10:00Z,-77.86801944,39.5801,BERKELEY (3),Rollover/Overturn,1,TRUE,Clear,Yes,01:20,Not Applicable/Notified,NA,1,1,1,0
2016,540004,2016-01-02T16:14:00Z,-80.97528056,38.97278056,GILMER (21),Embankment,35,TRUE,Clear,Yes,16:46,Yes,18:08,1,1,1,0
2016,540005,2016-01-04T14:09:00Z,-81.00611944,39.55264167,TYLER (95),Guardrail Face,24,FALSE,Snow,Unknown time,NA,Not Applicable/Notified,NA,2,1,2,0
