CaseYear,ST_CASE,hospital_ID,driving
2016,540126,0004824801,51.69666666666667
2016,540126,0001324701,6.498333333333333
2016,540205,0016725801,52.32833333333333
2016,540205,0145724134,45.086666666666666
2016,540205,0007124134,43.79
2016,540205,0005824651,29.538333333333334
2016,540205,0004024740,14.555
2016,540205,0005925951,52.78666666666666
2016,540205,0004824801,51.71
2016,540205,0001324701,6.511666666666667
2016,540232,0016725801,42.31666666666667
2016,540232,0145724134,35.075
2016,540232,0007124134,33.778333333333336
2016,540232,0005824651,35.525
2016,540232,0004024740,2.68
2016,540232,0005925951,42.19166666666667
2016,540232,0004824801,65.20166666666667
2016,540232,0001324701,17.279999999999998
2016,540240,0016725801,42.4
2016,540240,0145724134,23.685
2016,540240,0007124134,22.388333333333332
2016,540240,0005824651,43.865
2016,540240,0004024740,14.58
2016,540240,0005925951,46.57833333333333
2016,540240,0004824801,74.54333333333334
2016,540240,0001324701,25.62
2016,540242,0016725801,54.15833333333333
2016,540242,0145724134,47.92333333333333
2016,540242,0007124134,46.626666666666665
2016,540242,0005824651,24.82
2016,540242,0004024740,17.495
2016,540242,0005925951,58.336666666666666
2016,540242,0004824801,51.07833333333333
2016,540242,0001324701,1.7933333333333332
2017,540058,0016725801,40.730000000000004
2017,540058,0145724134,26.584999999999997
2017,540058,0007124134,25.288333333333334
2017,540058,0005824651,42.195
2017,540058,0004024740,12.91
2017,540058,0005925951,44.90833333333333
2017,540058,0004824801,72.87333333333332
2017,540058,0001324701,23.95
2017,540065,0016725801,26.895
2017,540065,0145724134,39.016666666666666
2017,540065,0007124134,37.72
2017,540065,0005824651,45.27833333333333
2017,540065,0004024740,16.811666666666667
2017,540065,0005925951,40.309999999999995
2017,540065,0004824801,76.775
2017,540065,0001324701,27.033333333333335
2017,540095,0016725801,43.60333333333333
2017,540095,0145724134,36.723333333333336
2017,540095,0007124134,35.42666666666666
2017,540095,0005824651,38.38333333333333
2017,540095,0004024740,4.905
2017,540095,0005925951,41.315000000000005
2017,540095,0004824801,63.885
2017,540095,0001324701,20.138333333333332
2017,540102,0016725801,50.64
2017,540102,0145724134,44.98166666666667
2017,540102,0007124134,43.684999999999995
2017,540102,0005824651,26.638333333333332
2017,540102,0004024740,13.595
2017,540102,0005925951,51.82666666666667
2017,540102,0004824801,54.99
2017,540102,0001324701,4.755
2017,540108,0016725801,41.72
2017,540108,0145724134,34.47833333333333
2017,540108,0007124134,33.181666666666665
2017,540108,0005824651,32.69833333333334
2017,540108,0004024740,5.52
2017,540108,0005925951,42.17833333333333
2017,540108,0004824801,62.375
2017,540108,0001324701,14.453333333333335
2017,540154,0016725801,46.50333333333333
2017,540154,0145724134,47.85
2017,540154,0007124134,46.55333333333333
2017,540154,0005824651,48.085
2017,540154,0004024740,14.086666666666668
2017,540154,0005925951,50.781666666666666
2017,540154,0004824801,67.11
2017,540154,0001324701,29.84
2017,540204,0016725801,26.816666666666666
2017,540204,0145724134,39.59666666666667
2017,540204,0007124134,38.3
2017,540204,0005824651,45.858333333333334
2017,540204,0004024740,17.391666666666666
2017,540204,0005925951,40.89
2017,540204,0004824801,77.355
2017,540204,0001324701,27.613333333333333
2017,540209,0016725801,25.421666666666667
2017,540209,0145724134,41.36333333333334
2017,540209,0007124134,40.06666666666667
2017,540209,0005824651,47.625
2017,540209,0004024740,19.158333333333335
2017,540209,0005925951,42.656666666666666
2017,540209,0004824801,79.12166666666667
2017,540209,0001324701,29.38
2017,540238,0016725801,50.263333333333335
2017,540238,0145724134,51.61
2017,540238,0007124134,50.31333333333334
2017,540238,0005824651,51.845
2017,540238,0004024740,17.846666666666668
2017,540238,0005925951,54.541666666666664
2017,540238,0004824801,70.98
2017,540238,0001324701,33.6
2018,540035,0016725801,48.144999999999996
2018,540035,0145724134,40.90333333333333
2018,540035,0007124134,39.60666666666667
2018,540035,0005824651,30.58
2018,540035,0004024740,10.371666666666666
2018,540035,0005925951,48.60333333333333
2018,540035,0004824801,55.876666666666665
2018,540035,0001324701,10.678333333333335
2018,540058,0016725801,29.043333333333333
2018,540058,0145724134,41.82333333333334
2018,540058,0007124134,40.526666666666664
2018,540058,0005824651,48.085
2018,540058,0004024740,19.618333333333332
2018,540058,0005925951,43.11666666666667
2018,540058,0004824801,79.58166666666666
2018,540058,0001324701,29.84
2018,540092,0016725801,50.03333333333333
2018,540092,0145724134,51.38
2018,540092,0007124134,50.083333333333336
2018,540092,0005824651,51.615
2018,540092,0004024740,17.616666666666667
2018,540092,0005925951,54.31166666666666
2018,540092,0004824801,70.75
2018,540092,0001324701,33.37
2018,540112,0016725801,42.27166666666667
2018,540112,0145724134,39.84666666666667
2018,540112,0007124134,38.55
2018,540112,0005824651,40.08166666666667
2018,540112,0004024740,6.083333333333333
2018,540112,0005925951,45.53
2018,540112,0004824801,65.06333333333333
2018,540112,0001324701,21.836666666666666
2018,540130,0016725801,47.39666666666667
2018,540130,0145724134,40.155
2018,540130,0007124134,38.858333333333334
